date,year,month,submitter,ticket_id,ticket_category,first_response_time_minutes,first_resolution_time_minutes,full_resolution_time_minutes,satisfaction_score,isfcr
1/1/2024,2024,January,Customer_181,TCK103555,Billing,192,868,1688,Good,FALSE
1/1/2024,2024,January,Customer_381,TCK101976,Billing,158,134,43,Bad,FALSE
1/1/2024,2024,January,Customer_628,TCK103050,Technical,53,1268,2530,Good,FALSE
1/1/2024,2024,January,Customer_64,TCK101136,General Inquiry,62,51,3089,Bad,FALSE
1/1/2024,2024,January,Customer_173,TCK100978,Technical,126,748,3963,Bad,FALSE
1/1/2024,2024,January,Customer_687,TCK100754,Service Request,161,649,1045,Good,FALSE
1/1/2024,2024,January,Customer_107,TCK100647,Billing,172,138,3253,Good,FALSE
1/1/2024,2024,January,Customer_574,TCK103249,Service Request,8,692,2325,Good,FALSE
1/1/2024,2024,January,Customer_297,TCK104161,Service Request,71,722,409,Good,FALSE
1/1/2024,2024,January,Customer_572,TCK102033,Technical,231,563,1997,Good,FALSE
2/1/2024,2024,January,Customer_537,TCK101800,Service Request,139,443,1380,Good,FALSE
2/1/2024,2024,January,Customer_28,TCK101914,Complaint,121,762,1544,Bad,FALSE
2/1/2024,2024,January,Customer_709,TCK100267,Billing,162,404,2588,Good,FALSE
2/1/2024,2024,January,Customer_217,TCK100211,Service Request,113,730,1103,Bad,FALSE
2/1/2024,2024,January,Customer_732,TCK100067,Complaint,133,174,2089,Good,FALSE
2/1/2024,2024,January,Customer_736,TCK102134,Complaint,155,641,976,Good,FALSE
3/1/2024,2024,January,Customer_278,TCK101549,Technical,233,524,2939,Good,FALSE
3/1/2024,2024,January,Customer_111,TCK102088,Complaint,228,108,3335,Good,FALSE
3/1/2024,2024,January,Customer_504,TCK104475,General Inquiry,34,1278,2525,Bad,FALSE
3/1/2024,2024,January,Customer_381,TCK101491,Service Request,228,868,352,Good,FALSE
3/1/2024,2024,January,Customer_100,TCK103908,Complaint,198,660,741,Bad,FALSE
3/1/2024,2024,January,Customer_125,TCK103740,Billing,106,604,3147,Good,FALSE
3/1/2024,2024,January,Customer_509,TCK100882,Technical,99,1018,564,Bad,FALSE
4/1/2024,2024,January,Customer_527,TCK101299,Billing,209,716,1555,Good,FALSE
4/1/2024,2024,January,Customer_783,TCK100954,Account,57,674,1965,Good,FALSE
4/1/2024,2024,January,Customer_18,TCK104079,General Inquiry,233,998,3364,Good,FALSE
5/1/2024,2024,January,Customer_606,TCK100832,Complaint,172,1072,3352,Good,FALSE
5/1/2024,2024,January,Customer_400,TCK100131,Billing,96,665,2241,Good,FALSE
5/1/2024,2024,January,Customer_297,TCK103884,Billing,66,485,154,Good,FALSE
5/1/2024,2024,January,Customer_599,TCK101023,General Inquiry,128,13,4163,Bad,FALSE
5/1/2024,2024,January,Customer_492,TCK100720,Account,142,825,2646,Good,FALSE
5/1/2024,2024,January,Customer_110,TCK100419,Complaint,218,1152,173,Good,FALSE
6/1/2024,2024,January,Customer_771,TCK100950,Complaint,234,732,3484,Good,FALSE
6/1/2024,2024,January,Customer_661,TCK104516,Complaint,212,458,2271,Good,FALSE
7/1/2024,2024,January,Customer_135,TCK103357,Account,156,1171,368,Good,FALSE
7/1/2024,2024,January,Customer_257,TCK101617,General Inquiry,22,60,384,Good,FALSE
7/1/2024,2024,January,Customer_439,TCK101833,Complaint,81,364,3749,Bad,FALSE
7/1/2024,2024,January,Customer_679,TCK101686,Billing,116,108,1663,Bad,FALSE
7/1/2024,2024,January,Customer_655,TCK100881,Billing,167,1115,1315,Good,FALSE
7/1/2024,2024,January,Customer_701,TCK104361,General Inquiry,217,410,3159,Good,FALSE
7/1/2024,2024,January,Customer_778,TCK101250,Billing,114,237,3235,Bad,FALSE
7/1/2024,2024,January,Customer_431,TCK102345,Service Request,186,880,559,Good,FALSE
8/1/2024,2024,January,Customer_772,TCK101226,General Inquiry,151,1421,74,Bad,FALSE
8/1/2024,2024,January,Customer_208,TCK100861,General Inquiry,16,1152,3824,Good,FALSE
8/1/2024,2024,January,Customer_496,TCK102010,Billing,154,1028,600,Good,FALSE
8/1/2024,2024,January,Customer_218,TCK100692,Technical,161,736,4044,Good,FALSE
8/1/2024,2024,January,Customer_667,TCK102512,Complaint,167,1305,3924,Good,FALSE
8/1/2024,2024,January,Customer_366,TCK102940,Account,93,113,1511,Bad,FALSE
8/1/2024,2024,January,Customer_289,TCK103956,General Inquiry,68,1348,3241,Good,FALSE
8/1/2024,2024,January,Customer_49,TCK103161,Complaint,81,453,1872,Bad,FALSE
9/1/2024,2024,January,Customer_538,TCK101817,Billing,186,1367,3588,Good,FALSE
9/1/2024,2024,January,Customer_758,TCK100597,Service Request,121,764,1858,Good,FALSE
9/1/2024,2024,January,Customer_541,TCK100274,Billing,13,678,223,Bad,FALSE
10/1/2024,2024,January,Customer_739,TCK102168,Billing,167,667,3007,Bad,FALSE
10/1/2024,2024,January,Customer_622,TCK103991,General Inquiry,199,1016,569,Good,FALSE
10/1/2024,2024,January,Customer_472,TCK100717,Billing,141,462,2668,Good,FALSE
10/1/2024,2024,January,Customer_728,TCK102664,Technical,151,95,2465,Good,FALSE
10/1/2024,2024,January,Customer_508,TCK101941,Billing,41,1046,3450,Good,FALSE
