Date,Submitter,Ticket ID,Ticket Category,First Response Time Minutes,First Resolution Time Minutes,Full Resolution Time Minutes,Satisfaction Score
1/1/2024,Customer_181,TCK103555,Billing,192,868,1688,Good
1/1/2024,Customer_381,TCK101976,Billing,158,134,43,Bad
1/1/2024,Customer_628,TCK103050,Technical,53,1268,2530,Good
1/1/2024,Customer_64,TCK101136,General Inquiry,62,51,3089,Bad
1/1/2024,Customer_173,TCK100978,Technical,126,748,3963,Bad
1/1/2024,Customer_687,TCK100754,Service Request,161,649,1045,Good
1/1/2024,Customer_107,TCK100647,Billing,172,138,3253,Good
1/1/2024,Customer_574,TCK103249,Service Request,8,692,2325,Good
1/1/2024,Customer_297,TCK104161,Service Request,71,722,409,Good
1/1/2024,Customer_572,TCK102033,Technical,231,563,1997,Good
2/1/2024,Customer_537,TCK101800,Service Request,139,443,1380,Good
2/1/2024,Customer_28,TCK101914,Complaint,121,762,1544,Bad
2/1/2024,Customer_709,TCK100267,Billing,162,404,2588,Good
2/1/2024,Customer_217,TCK100211,Service Request,113,730,1103,Bad
2/1/2024,Customer_732,TCK100067,Complaint,133,174,2089,Good
2/1/2024,Customer_736,TCK102134,Complaint,155,641,976,Good
3/1/2024,Customer_278,TCK101549,Technical,233,524,2939,Good
3/1/2024,Customer_111,TCK102088,Complaint,228,108,3335,Good
3/1/2024,Customer_504,TCK104475,General Inquiry,34,1278,2525,Bad
3/1/2024,Customer_381,TCK101491,Service Request,228,868,352,Good
3/1/2024,Customer_100,TCK103908,Complaint,198,660,741,Bad
3/1/2024,Customer_125,TCK103740,Billing,106,604,3147,Good
3/1/2024,Customer_509,TCK100882,Technical,99,1018,564,Bad
4/1/2024,Customer_527,TCK101299,Billing,209,716,1555,Good
4/1/2024,Customer_783,TCK100954,Account,57,674,1965,Good
4/1/2024,Customer_18,TCK104079,General Inquiry,233,998,3364,Good
5/1/2024,Customer_606,TCK100832,Complaint,172,1072,3352,Good
5/1/2024,Customer_400,TCK100131,Billing,96,665,2241,Good
5/1/2024,Customer_297,TCK103884,Billing,66,485,154,Good
5/1/2024,Customer_599,TCK101023,General Inquiry,128,13,4163,Bad
5/1/2024,Customer_492,TCK100720,Account,142,825,2646,Good
5/1/2024,Customer_110,TCK100419,Complaint,218,1152,173,Good
6/1/2024,Customer_771,TCK100950,Complaint,234,732,3484,Good
6/1/2024,Customer_661,TCK104516,Complaint,212,458,2271,Good
7/1/2024,Customer_135,TCK103357,Account,156,1171,368,Good
7/1/2024,Customer_257,TCK101617,General Inquiry,22,60,384,Good
7/1/2024,Customer_439,TCK101833,Complaint,81,364,3749,Bad
7/1/2024,Customer_679,TCK101686,Billing,116,108,1663,Bad
7/1/2024,Customer_655,TCK100881,Billing,167,1115,1315,Good
7/1/2024,Customer_701,TCK104361,General Inquiry,217,410,3159,Good
7/1/2024,Customer_778,TCK101250,Billing,114,237,3235,Bad
7/1/2024,Customer_431,TCK102345,Service Request,186,880,559,Good
8/1/2024,Customer_772,TCK101226,General Inquiry,151,1421,74,Bad
8/1/2024,Customer_208,TCK100861,General Inquiry,16,1152,3824,Good
8/1/2024,Customer_496,TCK102010,Billing,154,1028,600,Good
8/1/2024,Customer_218,TCK100692,Technical,161,736,4044,Good
8/1/2024,Customer_667,TCK102512,Complaint,167,1305,3924,Good
8/1/2024,Customer_366,TCK102940,Account,93,113,1511,Bad
8/1/2024,Customer_289,TCK103956,General Inquiry,68,1348,3241,Good
8/1/2024,Customer_49,TCK103161,Complaint,81,453,1872,Bad
9/1/2024,Customer_538,TCK101817,Billing,186,1367,3588,Good
9/1/2024,Customer_758,TCK100597,Service Request,121,764,1858,Good
9/1/2024,Customer_541,TCK100274,Billing,13,678,223,Bad
10/1/2024,Customer_739,TCK102168,Billing,167,667,3007,Bad
10/1/2024,Customer_622,TCK103991,General Inquiry,199,1016,569,Good
10/1/2024,Customer_472,TCK100717,Billing,141,462,2668,Good
10/1/2024,Customer_728,TCK102664,Technical,151,95,2465,Good
10/1/2024,Customer_508,TCK101941,Billing,41,1046,3450,Good
10/1/2024,Customer_288,TCK100988,Service Request,16,767,1130,Good
10/1/2024,Customer_403,TCK104141,Service Request,172,89,2818,Good
10/1/2024,Customer_740,TCK102497,General Inquiry,185,1349,1200,Good
10/1/2024,Customer_415,TCK103629,Technical,209,954,852,Good
11/1/2024,Customer_599,TCK101345,Service Request,138,806,1948,Good
11/1/2024,Customer_441,TCK101777,Account,85,560,738,Good
11/1/2024,Customer_538,TCK101514,Billing,81,221,2644,Bad
11/1/2024,Customer_675,TCK104568,Complaint,134,367,1878,Good
11/1/2024,Customer_72,TCK101098,Account,63,104,1123,Good
12/1/2024,Customer_115,TCK104241,Technical,69,986,2634,Good
12/1/2024,Customer_422,TCK102280,Complaint,99,410,1149,Bad
12/1/2024,Customer_730,TCK101399,Complaint,80,784,1237,Good
12/1/2024,Customer_158,TCK102376,Complaint,198,269,3170,Good
12/1/2024,Customer_380,TCK102679,Service Request,219,1409,901,Good
12/1/2024,Customer_296,TCK102332,Technical,204,362,3441,Good
12/1/2024,Customer_610,TCK101845,Billing,206,959,1781,Good
12/1/2024,Customer_261,TCK103649,Technical,79,474,117,Good
12/1/2024,Customer_119,TCK100686,Technical,214,1423,1575,Good
12/1/2024,Customer_554,TCK102097,Complaint,103,97,3734,Bad
12/1/2024,Customer_137,TCK101985,Technical,38,730,1855,Good
12/1/2024,Customer_259,TCK103804,Billing,30,205,3797,Good
12/1/2024,Customer_188,TCK100511,Service Request,65,593,3284,Good
13/1/2024,Customer_220,TCK103723,Service Request,142,925,2085,Good
13/1/2024,Customer_424,TCK100992,Account,79,162,1661,Bad
13/1/2024,Customer_84,TCK103699,Technical,213,444,2900,Good
13/1/2024,Customer_457,TCK102671,Service Request,128,852,54,Bad
13/1/2024,Customer_764,TCK103517,Account,136,442,1205,Bad
13/1/2024,Customer_548,TCK102453,Account,64,1436,1413,Good
13/1/2024,Customer_102,TCK103598,Service Request,101,831,1658,Good
14/1/2024,Customer_49,TCK103636,Account,217,1360,1955,Good
14/1/2024,Customer_232,TCK100052,Account,50,701,3856,Good
14/1/2024,Customer_596,TCK102681,Complaint,97,934,3342,Good
14/1/2024,Customer_611,TCK101844,Complaint,158,1403,2329,Good
14/1/2024,Customer_550,TCK101922,Billing,152,1327,482,Bad
15/1/2024,Customer_48,TCK101058,Service Request,231,1023,2810,Good
15/1/2024,Customer_656,TCK101082,Billing,209,96,1564,Good
15/1/2024,Customer_675,TCK100888,Technical,117,710,394,Bad
15/1/2024,Customer_541,TCK103892,General Inquiry,23,932,1684,Bad
15/1/2024,Customer_62,TCK100096,Technical,203,1048,3799,Good
15/1/2024,Customer_757,TCK100137,Complaint,111,906,3958,Good
16/1/2024,Customer_204,TCK101421,Account,53,625,2227,Bad
16/1/2024,Customer_82,TCK100489,Complaint,8,194,833,Good
16/1/2024,Customer_546,TCK103137,Technical,153,680,3708,Good
16/1/2024,Customer_411,TCK101461,Billing,15,215,57,Good
16/1/2024,Customer_671,TCK102976,Complaint,169,524,4055,Bad
17/1/2024,Customer_587,TCK101395,General Inquiry,220,1295,3404,Bad
17/1/2024,Customer_472,TCK104288,Complaint,149,287,1970,Good
17/1/2024,Customer_449,TCK103773,Complaint,129,868,2724,Bad
17/1/2024,Customer_580,TCK101668,Complaint,112,732,200,Bad
17/1/2024,Customer_800,TCK101375,Complaint,30,846,4305,Good
17/1/2024,Customer_199,TCK102523,Complaint,234,1163,1511,Good
17/1/2024,Customer_780,TCK100339,General Inquiry,175,780,3763,Bad
17/1/2024,Customer_246,TCK101642,General Inquiry,75,413,1662,Good
17/1/2024,Customer_270,TCK102487,Service Request,31,1089,1863,Bad
17/1/2024,Customer_150,TCK101313,General Inquiry,37,1118,2177,Good
17/1/2024,Customer_198,TCK104012,General Inquiry,226,783,848,Good
18/1/2024,Customer_680,TCK104551,Account,160,576,2992,Good
18/1/2024,Customer_302,TCK101203,Account,56,98,2294,Good
18/1/2024,Customer_439,TCK100364,Account,220,48,3779,Good
19/1/2024,Customer_87,TCK103542,Account,184,125,3809,Good
19/1/2024,Customer_20,TCK104258,Complaint,113,705,1052,Bad
19/1/2024,Customer_16,TCK101202,Technical,79,700,1262,Bad
19/1/2024,Customer_99,TCK102061,Billing,210,646,4097,Bad
19/1/2024,Customer_154,TCK102736,Service Request,37,109,746,Good
19/1/2024,Customer_570,TCK103939,Service Request,85,1093,3370,Good
19/1/2024,Customer_666,TCK102640,Complaint,78,678,422,Good
19/1/2024,Customer_287,TCK100558,Service Request,138,1100,2057,Bad
19/1/2024,Customer_100,TCK104586,General Inquiry,143,857,1106,Good
19/1/2024,Customer_529,TCK103252,Service Request,173,1413,2147,Good
20/1/2024,Customer_600,TCK101974,General Inquiry,7,457,484,Bad
20/1/2024,Customer_238,TCK102696,Technical,214,664,4164,Good
20/1/2024,Customer_173,TCK103479,Complaint,183,675,2256,Good
20/1/2024,Customer_734,TCK102706,Complaint,181,651,2804,Bad
20/1/2024,Customer_276,TCK100389,General Inquiry,102,803,750,Bad
20/1/2024,Customer_244,TCK101541,General Inquiry,239,633,1433,Good
20/1/2024,Customer_268,TCK102686,Technical,221,1189,2144,Good
20/1/2024,Customer_280,TCK104320,Account,205,1109,1621,Good
21/1/2024,Customer_287,TCK102481,Complaint,2,1081,1603,Bad
21/1/2024,Customer_325,TCK100005,General Inquiry,101,327,943,Good
21/1/2024,Customer_746,TCK102846,Account,14,1301,1047,Good
21/1/2024,Customer_429,TCK100046,Service Request,118,79,900,Good
21/1/2024,Customer_439,TCK104483,Technical,75,933,1291,Good
21/1/2024,Customer_396,TCK101715,Technical,84,1269,1072,Good
21/1/2024,Customer_177,TCK101906,Billing,102,676,1905,Good
21/1/2024,Customer_134,TCK102108,General Inquiry,11,982,1048,Bad
22/1/2024,Customer_605,TCK101672,Service Request,48,1284,3784,Good
22/1/2024,Customer_218,TCK103641,Service Request,115,561,3111,Bad
22/1/2024,Customer_387,TCK101708,Technical,77,978,3091,Good
22/1/2024,Customer_790,TCK103524,Service Request,5,651,1663,Bad
22/1/2024,Customer_253,TCK101839,Technical,217,177,2131,Bad
22/1/2024,Customer_25,TCK100028,Technical,235,1228,905,Good
22/1/2024,Customer_218,TCK102884,Complaint,189,960,2702,Good
22/1/2024,Customer_52,TCK104127,Service Request,31,382,3816,Good
22/1/2024,Customer_458,TCK100318,Complaint,23,598,866,Good
22/1/2024,Customer_700,TCK104312,Complaint,191,1186,2493,Good
22/1/2024,Customer_158,TCK104227,Technical,157,1381,486,Good
23/1/2024,Customer_797,TCK103696,Technical,115,251,532,Good
23/1/2024,Customer_281,TCK101040,Account,200,370,1716,Bad
23/1/2024,Customer_283,TCK100744,Billing,3,785,3735,Bad
23/1/2024,Customer_90,TCK102641,Account,193,835,3614,Bad
23/1/2024,Customer_271,TCK100479,Service Request,170,865,441,Bad
